T01,1.2339591025,6.74846670255,15.5255137297
T02,4.11895215824,3.81582225862,14.9229055182
T03,-0.0179275140932,-5.06927884418,15.0127638205
T04,-4.21888342452,-5.22391995959,14.5991356823
R01,4.03139211439,6.51944316665,13.8951554529
R02,1.65585464874,3.78854105159,16.6143244027
R03,-2.22405208165,-3.4144984975,16.5206697203
R04,-1.91919292819,-7.09032159644,13.4513030784
CH01,2.74881525248,6.92542165022,15.2168277235
CH02,1.60250100601,5.44254553948,16.5884487898
CH03,4.23128971968,5.39963034149,14.7574030355
CH04,3.13807260451,3.9428068693,16.26188603
CH05,-1.15011180208,-4.57704534045,16.0663873008
CH06,-3.59900777436,-4.56651303674,15.9151943863
CH07,-1.23743663691,-6.5317479051,14.6271735565
CH08,-3.44130936798,-6.51933091399,14.5334495478
