Label,X,Y,Z
Nz,5,81,-24
Iz,-3,-116,-32
AL,-71,-7,-50
AR,73,-12,-47
,-24.90788809,81.76008545,8.225572485
,31.29805624,81.23356096,9.466801068
,1.3919495,48.59339611,68.00325386
,-49.06820832,43.36511818,48.89304406
,49.52336429,40.89030028,49.70406699
,-66.30700516,44.40765434,-2.039094762
,68.64444802,39.48115027,0.033752368
,-1.980245091,-20.65916831,87.98726594
,-67.59111095,-15.77998822,55.0853151
,64.85082654,-20.27600316,56.5998214
,-82.55772356,-9.441265161,-15.77715481
,82.44140867,-15.10329822,-13.15324134
,-4.170873869,-87.04978376,64.71265014
,-57.35946985,-78.47626426,47.37704336
,51.86497509,-82.13221142,50.27035617
,-76.78980431,-71.03514494,-6.031571632
,74.62023519,-76.63285221,-3.560551108
,-33.385064,-114.9107386,1.323444032
,28.54527986,-118.3912838,2.521414732
,-4.106885775,-122.0845321,2.759067622
,4.441528341,87.92538403,10.46932926
